@ ccode	cname	superpwr	butterw	kende	ssm_is	ssm_es	ssis6074	sses6074	ssis7580	sses7580	ssal6080	ssal6074	ssal7580	poldem60	poldem65	civil73	polit73	civil79	polit79	fh73	fh75_80	dembin	area	defexd	defexdpc	encon	enconpc	gnppc	gdppc	impexppc	impexp	ecintdep	tvpc	szmil	szmilpc	popltn	larea	lpopltn	lszmil	lszmilpc	ltvpc	lecintd	limpexpc	limpexp	lencnpc	lgdppc	milwp70	popln70	ecnpc70	trade75	lmilwp70	lpopln70	lecnpc70 @
2	United_States	1	7	14	1	0	1	0	0	0	1	1	0	94.6	92.4	1	1	1	1	14	14	1	3619	76276144	37229	2278900	11127	4953	4501	40192	8234600	0.081	41292	3161	154	204880	3.559	5.311	3.5	2.188	4.616	-1.091	4.604	6.916	4.046	3.653	24.2	204879	11077	13.8	1.3838	5.3115	4.0444
20	Canada	0	0	0	0	0	0	0	0	0	0	0	0	99.9	99.5	1	1	1	1	14	14	1	3851	1488821	6955	192590	8997	3303	2961	137713	2947900	0.417	33168	93	43	21406	3.586	4.331	1.968	1.633	4.521	-0.38	5.139	6.47	3.954	3.471	7.2	21406	9393	41.9	0.8573	4.3305	3.9728
40	Cuba	0	1	2	0	1	0	0	0	1	1	0	1	13.9	5.2	7	7	6	6	2	3	0	44	.	.	9390	1070	599	422	27557	235700	0.46	3039	110	128	8553	1.643	3.932	2.041	2.107	3.483	-0.337	4.44	5.372	3.029	2.625	28.9	8565	1096	101.4	1.4609	3.9327	3.0398
41	Haiti	0	0	0	0	0	0	0	0	0	0	0	0	35	20.7	6	7	6	7	3	3	0	11	7209	148	130	27	95	88	1951	9500	0.205	226	6	12	4867	1.041	3.687	0.778	1.079	2.354	-0.687	3.29	3.978	1.431	1.944	5.3	4235	31	23.5	0.7243	3.6269	1.4914
42	Dominican_Republic	0	1	1	0	0	0	0	0	0	0	0	0	20.6	38.8	2	3	2	2	11	11.5	0	19	25741	615	1030	246	312	277	11934	49900	0.383	2391	19	45	4181	1.279	3.621	1.279	1.653	3.379	-0.417	4.077	4.698	2.391	2.442	8.0	4343	214	49.2	0.9031	3.6378	2.3304
70	Mexico	0	0	0	0	0	0	0	0	0	0	0	0	80.1	74.5	3	5	4	4	8	8	0	761	211721	431	59340	1208	606	592	7869	386300	0.13	6096	69	14	49090	2.881	4.691	1.839	1.146	3.785	-0.887	3.896	5.587	3.082	2.772	3.2	50313	1207	14.9	0.5051	4.7017	3.0817
90	Guatemala	0	0	1	0	0	0	0	0	0	0	0	0	69.8	39.5	3	2	4	3	11	10	0	42	33136	638	1240	239	341	319	11235	58300	0.329	1387	9	17	5189	1.623	3.715	0.954	1.23	3.142	-0.482	4.051	4.766	2.378	2.504	4.7	5298	238	37.8	0.6721	3.7241	2.3766
91	Honduras	0	1	1	1	0	1	0	0	0	1	1	0	70.1	50	3	7	3	6	6	6.5	0	43	8404	325	570	221	262	244	15193	39200	0.58	852	5	19	2580	1.633	3.412	0.699	1.279	2.93	-0.237	4.182	4.593	2.344	2.387	4.6	2553	223	66.4	0.6628	3.4071	2.3483
92	El_Salvador	0	1	1	1	0	1	0	0	0	1	1	0	53.5	72.1	3	2	4	4	11	9.5	0	8	7836	221	720	209	280	262	12507	44200	0.447	2603	6	16	3534	0.903	3.548	0.778	1.204	3.415	-0.35	4.097	4.645	2.32	2.418	2.3	3516	205	60.7	0.3617	3.5460	2.3118
93	Nicaragua	0	0	0	0	0	0	0	0	0	0	0	0	48.7	55.4	3	4	5	5	9	7.5	0	50	10403	525	750	378	387	371	18838	37300	0.487	2777	7	35	1980	1.699	3.297	0.845	1.544	3.444	-0.313	4.275	4.572	2.577	2.569	6.2	1970	381	56.5	0.7924	3.2945	2.5809
