cname	butterw	kende	ssal6080	bwB	kenB	bwT	kenT	ssT	ssB	pdB	pdT	dembin					
United_States	7	14	1	1	1	2	2	1	1	1	3	1					
Canada	0	0	0	0	0	0	0	0	0	1	3	1					
Cuba	1	2	1	1	1	1	2	1	1	0	1	0					
Haiti	0	0	0	0	0	0	0	0	0	0	1	0					
Dominican_Republic	1	1	0	1	1	1	1	0	0	0	2	0					
Mexico	0	0	0	0	0	0	0	0	0	0	2	0					
Guatemala	0	1	0	0	1	0	1	0	0	0	2	0					
Honduras	1	1	1	1	1	1	1	1	1	0	2	0					
El_Salvador	1	1	1	1	1	1	1	1	1	0	2	0					
Nicaragua	0	0	0	0	0	0	0	0	0	0	2	0					
Costa_Rica	0	0	0	0	0	0	0	0	0	1	3	1					
Panama	0	0	0	0	0	0	0	0	0	0	2	0					
Colombia	0	2	0	0	1	0	2	0	0	0	2	0					
Venezuela	0	0	0	0	0	0	0	0	0	0	2	0					
Ecuador	0	0	0	0	0	0	0	0	0	0	2	0					
Peru	0	1	0	0	1	0	1	0	0	0	2	0					
Brazil	0	0	0	0	0	0	0	0	0	0	2	0					
Bolivia	0	1	0	0	1	0	1	0	0	0	2	0					
Paraguay	0	0	0	0	0	0	0	0	0	0	2	0					
Chile	0	0	0	0	0	0	0	0	0	1	3	0					
Argentina	0	0	0	0	0	0	0	0	0	0	2	0					
Uruguay	0	0	0	0	0	0	0	0	0	0	2	0					
United_Kingdom	4	5	0	1	1	2	2	0	0	1	3	1					
Ireland	1	0	0	1	0	1	0	0	0	1	3	1					
Netherlands	1	1	0	1	1	1	1	0	0	1	3	1					
Belgium	2	4	0	1	1	2	2	0	0	1	3	1					
France	2	3	0	1	1	2	2	0	0	1	3	1					
Switzerland	0	0	0	0	0	0	0	0	0	1	3	1					
Spain	0	0	0	0	0	0	0	0	0	0	1	0					
Portugal	4	5	0	1	1	2	2	0	0	0	1	0					
West_Germany	0	0	0	0	0	0	0	0	0	1	3	1					
East_Germany	1	0	0	1	0	1	0	0	0	0	1	0					
Poland	1	0	0	1	0	1	0	0	0	0	1	0					
Austria	0	0	0	0	0	0	0	0	0	1	3	1					
